series;frame_idx;beetle_idx;stage
seria_2;44;13;stage1
seria_2;58;15;stage1
seria_2;65;10;stage1
seria_2;73;7;stage1
seria_2;27;6;stage1
seria_2;28;7;stage1
seria_2;29;7;stage1
seria_2;30;5;stage1
seria_2;31;5;stage1
seria_2;37;5;stage1
seria_2;40;5;stage1
seria_2;53;6;stage1
seria_2;71;17;stage1
seria_2;84;7;stage1
seria_2;92;13;stage1
seria_2;4;3;stage1
seria_2;54;16;stage1
seria_2;107;11;stage1
seria_2;109;4;stage1
seria_2;38;6;stage1
seria_2;73;14;stage1
seria_2;74;16;stage1
seria_2;75;15;stage1
seria_2;83;7;stage1
seria_2;84;13;stage1
seria_2;37;7;stage1
seria_2;52;10;stage1
seria_2;76;14;stage1
seria_2;76;15;stage1
seria_2;121;11;stage1
seria_2;84;6;stage1
seria_2;117;1;stage1
seria_2;121;12;stage1
seria_2;123;4;stage1
seria_2;79;6;stage1
seria_2;86;15;stage1
seria_2;90;13;stage1
seria_2;10;16;stage1
seria_2;11;17;stage1
seria_2;15;16;stage1
seria_2;18;17;stage1
seria_2;21;18;stage1
seria_2;22;17;stage1
seria_2;23;16;stage1
seria_2;28;6;stage1
seria_2;29;6;stage1
seria_2;30;8;stage1
seria_2;31;8;stage1
seria_2;32;8;stage1
seria_2;34;15;stage1
seria_2;36;14;stage1
seria_2;38;15;stage1
seria_2;40;13;stage1
seria_2;42;14;stage1
seria_2;45;10;stage1
seria_2;46;10;stage1
seria_2;46;13;stage1
seria_2;48;15;stage1
seria_2;48;17;stage1
seria_2;52;15;stage1
seria_2;53;12;stage1
seria_2;54;14;stage1
seria_2;56;11;stage1
seria_2;59;13;stage1
seria_2;64;8;stage1
seria_2;66;10;stage1
seria_2;67;11;stage1
seria_2;77;14;stage1
seria_2;78;16;stage1
seria_2;82;2;stage1
seria_2;91;13;stage1
seria_2;92;11;stage1
seria_2;121;6;stage1
seria_2;13;12;stage1
seria_2;14;13;stage1
seria_2;30;18;stage1
seria_2;31;15;stage1
seria_2;33;12;stage1
seria_2;40;14;stage1
seria_2;43;14;stage1
seria_2;43;8;stage1
seria_2;60;13;stage1
seria_2;61;13;stage1
seria_2;62;10;stage1
seria_2;75;14;stage1
seria_2;92;7;stage1
seria_2;93;14;stage1
seria_2;103;3;stage1
seria_2;104;5;stage1
seria_2;110;6;stage1
seria_2;123;10;stage1
seria_2;123;6;stage1
seria_2;15;13;stage1
seria_2;42;7;stage1
seria_2;68;2;stage1
seria_2;70;2;stage1
seria_2;73;6;stage1
seria_2;82;4;stage1
seria_2;88;4;stage1
seria_2;92;3;stage1
seria_2;100;11;stage1
seria_2;75;13;stage1
seria_2;79;13;stage1
seria_2;4;13;stage1
seria_2;8;18;stage1
seria_2;8;4;stage1
seria_2;11;19;stage1
seria_2;12;12;stage1
seria_2;15;5;stage1
seria_2;23;14;stage1
seria_2;23;7;stage1
seria_2;24;16;stage1
seria_2;25;18;stage1
seria_2;26;18;stage1
seria_2;28;19;stage1
seria_2;29;17;stage1
seria_2;32;17;stage1
seria_2;33;18;stage1
seria_2;34;9;stage1
seria_2;36;10;stage1
seria_2;39;11;stage1
seria_2;40;16;stage1
